City_Country,lat,lng,city,country
"Tokyo, Tōkyō - Japan",35.6897,139.6922,Tokyo,Japan
"Jakarta, Jakarta - Indonesia",-6.175,106.8275,Jakarta,Indonesia
"Delhi, Delhi - India",28.61,77.23,Delhi,India
"Guangzhou, Guangdong - China",23.13,113.26,Guangzhou,China
"Mumbai, Mahārāshtra - India",19.0761,72.8775,Mumbai,India
"Manila, Manila - Philippines",14.5958,120.9772,Manila,Philippines
"Shanghai, Shanghai - China",31.2286,121.4747,Shanghai,China
"São Paulo, São Paulo - Brazil",-23.55,-46.6333,São Paulo,Brazil
"Seoul, Seoul - Korea, South",37.56,126.99,Seoul,"Korea, South"
"Mexico City, Ciudad de México - Mexico",19.4333,-99.1333,Mexico City,Mexico
"Cairo, Al Qāhirah - Egypt",30.0444,31.2358,Cairo,Egypt
"New York, New York - United States",40.6943,-73.9249,New York,United States
"Dhaka, Dhaka - Bangladesh",23.7639,90.3889,Dhaka,Bangladesh
"Beijing, Beijing - China",39.9067,116.3975,Beijing,China
"Kolkāta, West Bengal - India",22.5675,88.37,Kolkāta,India
"Bangkok, Krung Thep Maha Nakhon - Thailand",13.7525,100.4942,Bangkok,Thailand
"Shenzhen, Guangdong - China",22.5415,114.0596,Shenzhen,China
"Moscow, Moskva - Russia",55.7558,37.6172,Moscow,Russia
"Buenos Aires, Buenos Aires, Ciudad Autónoma de - Argentina",-34.6033,-58.3817,Buenos Aires,Argentina
"Lagos, Lagos - Nigeria",6.455,3.3841,Lagos,Nigeria
"Istanbul, İstanbul - Turkey",41.0136,28.955,Istanbul,Turkey
"Karachi, Sindh - Pakistan",24.86,67.01,Karachi,Pakistan
"Bangalore, Karnātaka - India",12.9789,77.5917,Bangalore,India
"Ho Chi Minh City, Hồ Chí Minh - Vietnam",10.7756,106.7019,Ho Chi Minh City,Vietnam
"Ōsaka, Ōsaka - Japan",34.6939,135.5022,Ōsaka,Japan
"Chengdu, Sichuan - China",30.66,104.0633,Chengdu,China
"Tehran, Tehrān - Iran",35.6892,51.3889,Tehran,Iran
"Kinshasa, Kinshasa - Congo (Kinshasa)",-4.3219,15.3119,Kinshasa,Congo (Kinshasa)
"Rio de Janeiro, Rio de Janeiro - Brazil",-22.9111,-43.2056,Rio de Janeiro,Brazil
"Chennai, Tamil Nādu - India",13.0825,80.275,Chennai,India
